eig1   eig2   A
(0.428983605934+0.317164243587j) (0.428983605934-0.317164243587j) 0.25821
(0.42977848495+0.3160862943j) (0.42977848495-0.3160862943j) 0.25822
(0.430573689445+0.315002205591j) (0.430573689445-0.315002205591j) 0.25823
(0.431369216177+0.313911915837j) (0.431369216177-0.313911915837j) 0.25824
(0.432165065134+0.312815357756j) (0.432165065134-0.312815357756j) 0.25825
(0.432961244603+0.311712451214j) (0.432961244603-0.311712451214j) 0.25826
(0.433757737611+0.310603149747j) (0.433757737611-0.310603149747j) 0.25827
(0.434556057067+0.309485257865j) (0.434556057067-0.309485257865j) 0.25828
(0.435353199464+0.308362908415j) (0.435353199464-0.308362908415j) 0.25829
(0.436150332845+0.307234403556j) (0.436150332845-0.307234403556j) 0.2583
(0.436948113309+0.30609873872j) (0.436948113309-0.30609873872j) 0.25831
(0.437746595906+0.30495574981j) (0.437746595906-0.30495574981j) 0.25832
(0.438545034311+0.303806425955j) (0.438545034311-0.303806425955j) 0.25833
(0.439343789768+0.302650170927j) (0.439343789768-0.302650170927j) 0.25834
(0.440142867303+0.301486895126j) (0.440142867303-0.301486895126j) 0.25835
(0.440942266131+0.300316515545j) (0.440942266131-0.300316515545j) 0.25836
(0.441741984306+0.299138949105j) (0.441741984306-0.299138949105j) 0.25837
(0.442542030516+0.297954095117j) (0.442542030516-0.297954095117j) 0.25838
(0.443341416373+0.296763340219j) (0.443341416373-0.296763340219j) 0.25839
(0.44414177526+0.295564163996j) (0.44414177526-0.295564163996j) 0.2584
(0.444944931814+0.294353697485j) (0.444944931814-0.294353697485j) 0.25841
(0.445744693403+0.293141194432j) (0.445744693403-0.293141194432j) 0.25842
(0.446545918621+0.291919225356j) (0.446545918621-0.291919225356j) 0.25843
(0.44734953671+0.290686228733j) (0.44734953671-0.290686228733j) 0.25844
(0.448151819458+0.289447816171j) (0.448151819458-0.289447816171j) 0.25845
(0.44895442422+0.288201347227j) (0.44895442422-0.288201347227j) 0.25846
(0.449757350986+0.286946714224j) (0.449757350986-0.286946714224j) 0.25847
(0.450560599747+0.285683806902j) (0.450560599747-0.285683806902j) 0.25848
(0.451364170491+0.284412512324j) (0.451364170491-0.284412512324j) 0.25849
(0.45216806321+0.283132714787j) (0.45216806321-0.283132714787j) 0.2585
(0.452972277893+0.281844295721j) (0.452972277893-0.281844295721j) 0.25851
(0.45377681453+0.280547133589j) (0.45377681453-0.280547133589j) 0.25852
(0.454581822363+0.279240860812j) (0.454581822363-0.279240860812j) 0.25853
(0.455386115053+0.277927288669j) (0.455386115053-0.277927288669j) 0.25854
(0.456191600419+0.276603172934j) (0.456191600419-0.276603172934j) 0.25855
(0.456997406715+0.275269798245j) (0.456997406715-0.275269798245j) 0.25856
(0.457803534188+0.273927026148j) (0.457803534188-0.273927026148j) 0.25857
(0.458609983097+0.27257471448j) (0.458609983097-0.27257471448j) 0.25858
(0.459416731189+0.271212755367j) (0.459416731189-0.271212755367j) 0.25859
(0.460222970366+0.269842378284j) (0.460222970366-0.269842378284j) 0.2586
(0.461031259317+0.268459064855j) (0.461031259317-0.268459064855j) 0.25861
(0.461839044965+0.267067010535j) (0.461839044965-0.267067010535j) 0.25862
(0.462647155476+0.265664640288j) (0.462647155476-0.265664640288j) 0.25863
(0.463455437891+0.264252055165j) (0.463455437891-0.264252055165j) 0.25864
(0.464264195423+0.262828553277j) (0.464264195423-0.262828553277j) 0.25865
(0.46507325821+0.261394254084j) (0.46507325821-0.261394254084j) 0.25866
(0.465882687934+0.259948865459j) (0.465882687934-0.259948865459j) 0.25867
(0.466692629928+0.258491935544j) (0.466692629928-0.258491935544j) 0.25868
(0.467501756999+0.257025677263j) (0.467501756999-0.257025677263j) 0.25869
(0.468312009945+0.255546381136j) (0.468312009945-0.255546381136j) 0.2587
(0.46912248041+0.254055485954j) (0.46912248041-0.254055485954j) 0.25871
(0.469934603394+0.252550114042j) (0.469934603394-0.252550114042j) 0.25872
(0.470745899322+0.251034638728j) (0.470745899322-0.251034638728j) 0.25873
(0.4715575176+0.249506711664j) (0.4715575176-0.249506711664j) 0.25874
(0.472369458139+0.247966099674j) (0.472369458139-0.247966099674j) 0.25875
(0.47318172233+0.246412558978j) (0.47318172233-0.246412558978j) 0.25876
(0.473994306024+0.244845848293j) (0.473994306024-0.244845848293j) 0.25877
(0.474807212732+0.243265703105j) (0.474807212732-0.243265703105j) 0.25878
(0.475620441128+0.241671859246j) (0.475620441128-0.241671859246j) 0.25879
(0.476433981062+0.240064060741j) (0.476433981062-0.240064060741j) 0.2588
(0.477247978217+0.23844173053j) (0.477247978217-0.23844173053j) 0.25881
(0.478064214964+0.236800966934j) (0.478064214964-0.236800966934j) 0.25882
(0.478878736657+0.235149414517j) (0.478878736657-0.235149414517j) 0.25883
(0.479693579995+0.233482677905j) (0.479693579995-0.233482677905j) 0.25884
(0.480508744976+0.231800426168j) (0.480508744976-0.231800426168j) 0.25885
(0.481324231602+0.230102315597j) (0.481324231602-0.230102315597j) 0.25886
(0.482140039873+0.228387989003j) (0.482140039873-0.228387989003j) 0.25887
(0.482956169794+0.226657074957j) (0.482956169794-0.226657074957j) 0.25888
(0.483772621369+0.224909186971j) (0.483772621369-0.224909186971j) 0.25889
(0.484589394604+0.223143922631j) (0.484589394604-0.223143922631j) 0.2589
(0.485406221225+0.221361450947j) (0.485406221225-0.221361450947j) 0.25891
(0.486223630431+0.219560180315j) (0.486223630431-0.219560180315j) 0.25892
(0.487041409439+0.217740113579j) (0.487041409439-0.217740113579j) 0.25893
(0.487859500481+0.215900901712j) (0.487859500481-0.215900901712j) 0.25894
(0.488677876074+0.214042110356j) (0.488677876074-0.214042110356j) 0.25895
(0.489496573988+0.212163134459j) (0.489496573988-0.212163134459j) 0.25896
(0.490315594874+0.210263427617j) (0.490315594874-0.210263427617j) 0.25897
(0.491134937182+0.208342422587j) (0.491134937182-0.208342422587j) 0.25898
(0.491954600893+0.206399520906j) (0.491954600893-0.206399520906j) 0.25899
(0.492774585991+0.204434094445j) (0.492774585991-0.204434094445j) 0.259
(0.493593292555+0.202449384081j) (0.493593292555-0.202449384081j) 0.25901
